message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"The incoming message is a business update regarding an account or card payment, which requires the user to review details in their banking app.",0.95,message_0275;message_0263
msg_091,digest,business_update,"The incoming message is a business update regarding the expiration of workspace access, requiring user interaction to keep the account active.",0.95,message_0238;message_0381
msg_090,digest,personal,"The message is a personal inquiry from the user seeking information about Arun, who they believe to be associated with Bluebell Apartments. The user has received this number for a package mix-up and is checking before contacting them again.",0.95,message_0196;message_0088
msg_048,digest,payment,"The incoming message is a payment notice, informing the user about an impending penalty that needs to be paid immediately.",0.95,message_0151;message_0152
msg_040,digest,forward,"The incoming message is a forward request, asking the user to share it with ten people for blessings.",0.95,message_0265;message_0016
msg_075,digest,business_update,"The incoming message is a business update regarding the rider's pickup or route status change, which requires user action to check details in the app.",0.95,message_0206;message_0205
msg_005,digest,personal,"The incoming message is a personal request for the delivery of an item, indicating urgency due to other pending requests.",0.95,message_0224;message_0065
msg_104,digest,personal,"The incoming message is a personal request for assistance regarding the collection of an item, indicating it's not urgent or promotional in nature.",0.95,message_0224;message_0065
msg_069,digest,greeting,"The incoming message is a greeting in Hindi, wishing well for the day and encouraging sharing of positive energy across groups.",0.95,message_0171;message_0077
msg_107,notify,payment,"The incoming message indicates that the user is opening banking alerts, which typically involves financial transactions or security measures related to payments.",0.95,message_0024;message_0023
msg_070,digest,urgent,"The incoming message is urgent as it warns the user about an OTP leak and a potential account block, urging immediate action.",0.95,message_0369;message_0023
msg_003,digest,business_update,"The incoming message is a business update regarding the status of an order, which falls under the category of business communication.",0.95,message_0400;message_0004
msg_099,digest,personal,"The message is a personal communication regarding notes for the next day's dashboard review, indicating no immediate action required.",0.95,message_0227;message_0219
msg_008,digest,promotion,"The incoming message is a promotional request for customer feedback on a product, which fits the 'promotion' category.",0.95,message_0072;message_0296
msg_092,digest,business_update,"The incoming message is a business update regarding the monthly card statement, which includes details about the amount due, reward points, and payment date.",0.95,message_0102;message_0101
msg_060,digest,urgent,"The incoming message is urgent as it informs about the closing time for internship approval forms, which requires immediate action from the recipients.",0.95,message_0284;message_0375
msg_004,digest,business_update,"The incoming message is a business update regarding health-related updates for the customer, which includes appointment, prescription, claim, or pickup details.",0.95,message_0245;message_0005
msg_030,digest,personal,"The incoming message is a personal advertisement for selling a used item, which fits the 'personal' category.",0.95,message_0113;message_0115
msg_045,notify,urgent,The incoming message is urgent as it involves a delivery that requires immediate attention due to security restrictions.,0.95,message_0378;message_0384
msg_052,digest,business_update,"The incoming message is a business update regarding the status of a food order refund, which requires user action to release funds.",0.95,message_0207;message_0159
msg_009,digest,event,"The message is about organizing a group discussion on cricket highlights, which fits the 'event' category as it pertains to a specific activity or occasion.",0.95,message_0074;message_0192
msg_071,digest,personal,"The message appears to be a casual conversation about plans, possibly related to dinner or medical appointments, indicating it is of personal nature.",0.95,message_0197;message_0054
msg_016,mute,scam,"[Safety Override] The incoming message contains a phishing attempt, urging the user to login at an unverified URL which is likely fraudulent.",0.98,message_0024;message_0045
msg_065,digest,promotion,"The incoming message is a promotional notification about a limited shopping benefit, which fits the promotion category.",0.95,message_0351;message_0260
msg_038,digest,urgent,"The incoming message is urgent in nature, urging the recipient to share a message with others before midnight for good luck. It also includes a directive to forward it to at least ten people and not ignore it.",0.95,message_0016;message_0077
msg_086,notify,business_update,The incoming message is a business update regarding the change in airport pickup time for tomorrow.,0.95,message_0222;message_0205
msg_014,digest,promotion,"The message is a promotional offer with a discount code, indicating it's an advertisement.",0.95,message_0018;message_0305
msg_094,digest,promotion,"The incoming message is a promotional offer from the business, inviting customers to shop selected beauty and wellness products with a discount.",0.95,message_0337;message_0356
msg_029,digest,personal,"The incoming message is a personal advertisement for selling an item, which fits the 'personal' category.",0.95,message_0113;message_0115
msg_105,digest,forward,"The incoming message is a forwarded health tip that suggests stopping all tablets for three days and drinking an herbal mix instead, which the sender believes to be important.",0.95,message_0373;message_0233
msg_002,digest,urgent,"The message is urgent as it requests a call before an important client meeting to discuss a refund edge case, indicating a time-sensitive matter.",0.95,message_0003;message_0249
msg_010,digest,business_update,"The incoming message is a business update from PVR Cinemas, asking for customer feedback through a link.",0.95,message_0311;message_0242
msg_078,digest,urgent,"The message is urgent as it requests immediate attention to open a document with pending benefit approval, indicating time-sensitive action required.",0.95,message_0025;message_0181
msg_013,digest,business_update,"The message is a business update regarding an imported recliner discount with specific pickup details and payment options, indicating urgency due to the buyer cancellation.",0.95,message_0114;message_0116
msg_018,digest,promotion,"The incoming message is a promotional notification about a reward claim opportunity, indicating it's related to user engagement or marketing.",0.95,message_0202;message_0196
msg_044,digest,urgent,The incoming message is urgent as it warns about account security risks and a time-sensitive action required to avoid permanent block.,0.95,message_0381;message_0238
msg_032,digest,personal,"The message is a personal request for information within the group, indicating that it's not urgent but requires attention.",0.85,message_0119;message_0285
msg_106,notify,personal,"The incoming message is a personal notification about a change in the location for dance practice, which requires attention from the receiver.",0.95,message_0376;message_0234
msg_006,digest,business_update,"The incoming message provides important updates regarding the closing time for maintenance, instructions on how to access society services, and information about receipt reconciliation.",0.95,message_0029;message_0044
msg_109,notify,payment,"The incoming message is a payment notification from an admin, requiring the user to clear an access-card penalty by scanning a QR code before 6 PM.",0.95,message_0151;message_0152
msg_108,notify,urgent,The message is urgent as it informs the user about an impending card access expiration that requires immediate action to prevent service disruption.,0.95,message_0094;message_0093
msg_019,digest,urgent,"The message is urgent as it pertains to a security update on the banking profile, which requires immediate attention.",0.95,message_0277;message_0407
msg_088,digest,personal,"The message is a personal communication regarding the delivery of an item (blue jacket) to another user, indicating it's not urgent or promotional in nature.",0.95,message_0224;message_0390
msg_056,digest,urgent,The message is urgent as it involves a change in an appointment time that requires immediate confirmation from the receiver.,0.95,message_0226;message_0359
msg_027,digest,promotion,"The incoming message is a promotional advertisement for Ladakh tour packages, offering discounts on sightseeing, transfers, meals, and stay options.",0.95,message_0007;message_0396
msg_050,digest,business_update,"The incoming message is a business update regarding health-related updates for the customer, which includes appointment, prescription, claim, or pickup details.",0.95,message_0245;message_0005
msg_083,digest,personal,"The message is a personal request for feedback on an upcoming task, indicating it's not urgent but requires attention.",0.95,message_0219;message_0227
msg_063,digest,payment,"The incoming message is a payment request for urgent service reactivation, indicating the need to pay today to avoid account lockout.",0.95,message_0025;message_0271
msg_033,digest,greeting,"The incoming message is a friendly greeting with no urgent or promotional content, indicating it's likely a personal message.",0.95,message_0046;message_0197
msg_061,digest,greeting,"The incoming message is a friendly greeting with an encouragement to share it, which fits the 'greeting' category.",0.95,message_0265;message_0177
msg_020,digest,urgent,"The message contains a link to verify an urgent document, indicating it is time-sensitive and requires immediate attention.",0.95,message_0025;message_0271
msg_017,digest,payment,"The incoming message is a payment reminder, urging the user to scan and pay a pending charge as it will stop service if not cleared by today.",0.95,message_0025;message_0385
msg_058,digest,forward,"The incoming message is a forwarded content, which typically indicates it's being shared for information or action by the sender.",0.95,message_0194;message_0172
msg_026,digest,business_update,"The message is a business update regarding the delivery status of a parcel, requiring user verification at an external payment gateway.",0.95,message_0028;message_0032
